ADDR,NCID,CID[0]
"1001 35TH AV",7,07-008160
"1001 39TH ST",2,08-015567
"1001 40TH AV",1,10-001130
"1001 40TH ST",1,11-059648
"1001 42ND ST",3,08-081427
"1001 46TH ST",4,13-903249
"1001 54TH ST",1,10-032552
"1001 57TH ST",6,07-066906
"1001 62ND ST",1,09-044845
"1001 63RD ST",6,13-032563
"1001 66TH AV",2,09-073006
"1001 69TH AV",1,11-046652
"1001 73RD AV",9,13-011335
"1001 76TH AV",1,09-026444
"1001 84TH AV",4,13-025157
"1001 86TH AV",3,07-066949
"1001 89TH AV",9,10-901317
"1001 91ST AV",8,07-076085
"1001 ADELINE ST",1,10-054513
"1001 AILEEN ST",1,09-903858
"1001 ALVARADO DR",1,10-052950
"1001 APGAR ST",4,12-014743
"1001 BROADWAY ST",1,13-908950
"1001 BROADWAY STREET",1,13-011657
"1001 CHESTNUT ST",7,07-071740
"1001 E 23RD ST",3,08-000784
"1001 E 24TH ST",2,07-082342
"1001 FRUITVALE AV",26,09-021271
"1001 GALVIN ST",1,10-901440
"1001 INEZ COURT",1,08-024239
"1001 JEFFERSON ST",7,07-008331
"1001 MACARTHUR BLVD",1,09-061775
"1001 MADISON ST",1,10-061296
"1001 MAGNOLIA ST",1,13-063281
"1001 SANTA YNEZ CT",1,13-021090
"1001 SUNVALLEY BLVD",1,12-913683
"1001 WALKER AV",4,07-022057
"1001 WARFIELD AV",6,08-014201
"1001 WEBSTER ST",1,10-028626
"1001 YERBA BUENA AV",3,10-015945
"10010 BROADWAY TER",2,13-903071
"10010 EMPIRE RD",2,08-053510
"10010 GOLF LINKS RD",2,07-100227
"10010 MAC ARTHUR BLVD",1,13-005035
"10010 MACARTHUR BLVD",25,10-012010
"10010 W MACARTHUR BLVD",1,13-910815
"10011 BERNHARDT DR",2,13-050321
"10011 EDES AV",1,08-017642
"10011 INTERNATIONAL BLVD",2,12-011737
"10011 PIPPIN ST",1,11-030301
"10013-10553 SKYLINE BLVD",1,10-901394
"10014 PIPPIN ST",2,08-051310
"10016 WALNUT ST",3,08-040863
"10017 PIPPIN ST",1,09-013001
"10018 PLYMOUTH ST",4,10-015492
"10019 EDES AV",1,13-911783
"1002 21ST ST",1,10-902946
"1002 23RD ST",1,11-038716
"1002 53RD ST",3,10-044684
"1002 59TH ST",1,07-007632
"1002 62ND ST",1,08-059717
"1002 7TH ST",3,13-002142
"1002 9TH AV",4,09-081083
"1002 APGAR ST",1,08-003999
"1002 BELLA VISTA AV",3,12-900036
"1002 E 23RD ST",43,08-092073
"1002 E23RD ST",2,12-043572
"1002 JEFFERSON ST",6,12-018612
"1002 KIRKHAM CT",1,11-026421
"1002 MAGNOLIA ST",1,12-065530
"10020 BURR ST",1,10-035333
"10020 VOLTAIRE AV",2,12-903581
"10021 BIRCH ST",2,07-051671
"10021 WALNUT ST",6,09-045731
"10022 EMPIRE RD",1,11-024873
"10023 MACARTHUR BLVD",29,07-035448
"10025 MACARTHUR BLVD",2,13-046868
"10025 SAN LEANDRO ST",1,07-055866
"10025 STANLEY AV",5,08-025778
"10025 WALNUT ST",2,12-004202
"10027 PIPPIN ST",2,09-039202
"10028 EMPIRE RD",2,07-029975
"10029 VOLTAIRE AV",5,08-085529
"1003 12TH ST",4,09-049359
"1003 8TH AV",8,10-020756
"1003 AMITO",1,09-021663
"1003 ARLINGTON AV",2,11-027752
"1003 CHESTER ST",3,09-052367
"1003 E 24TH ST",1,10-013542
"1003 POPLAR ST",1,10-024635
"10030 MACARTHUR BLVD",3,09-072422
"10030 SUNNYSIDE ST",3,13-031206
"10031 BERNHARDT DR",2,11-054491
"10031 BIRCH ST",1,08-061345
"10031 EMPIRE RD",4,12-029708
"10031 MACARTHUR BLVD",1,09-081825
"10034 EMPIRE RD",1,09-057110
"10034 VOLTAIRE AV",2,10-021896
"10035 STANLEY",1,10-069335
"10035 STANLEY AV",2,13-003339
"10035 VOLTAIRE AV",4,11-011155
"10035 W MCDOWELL RD",1,13-903693
"10036 MACARTHUR BLVD",19,12-020805
"10036 PEARMAIN ST",1,11-907665
"10037 BERNHARDT DR",4,13-004794
"10037 EMPIRE RD",9,08-068828
"10038 MACARTHUR BLVD",6,10-016253
"10039 VOLTAIRE AV",1,09-903586
"1004 104TH AV",4,13-012445
"1004 14TH ST",6,12-020743
"1004 16TH ST",4,09-064180
"1004 18TH ST",37,10-045467
"1004 24TH ST",2,11-024531
"1004 28TH ST",4,10-019156
"1004 39TH AV",3,07-043126
"1004 56TH ST",2,10-011933
"1004 60TH ST",10,11-016594
"1004 60TH STREET",1,10-019409
"1004 61ST ST",4,11-041020
"1004 ADELINE ST",1,09-019205
"1004 AILEEN ST",5,10-903131
"1004 CHESTER ST",11,13-024226
"1004 E 12TH ST",1,10-068797
"1004 ELBERT ST",2,13-907171
"1004 FOOTHILL BLVD",3,09-048317
"1004 KIRKHAM CT",4,07-037487
"1004 PERALTA ST",5,11-909516
"1004 POPLAR ST",1,07-018157
"1004 WOOD ST",3,07-068283
"10040 EMPIRE RD",1,09-076816
"10040 MACARTHUR BLVD",5,08-087820
"10042 GOLF LINKS RD",2,11-040882
"10043 BERNHARDT DR",2,07-057851
"1005 102ND AV",1,11-060647
"1005 16TH ST",1,10-051391
"1005 21ST ST",5,11-900813
"1005 45TH AV",4,11-023593
"1005 56TH ST",1,13-064694
"1005 62ND ST",8,13-058882
"1005 70TH AV",4,07-093108
"1005 72ND AV",11,11-013277
"1005 7TH ST",3,13-027012
"1005 80TH AV",2,09-010509
"1005 83RD AV",3,13-023166
"1005 89TH AV",1,10-025679
"1005 94TH AV",3,10-026674
"1005 ADELINE ST",2,11-015303
"1005 AILEEN ST",2,09-903850
"1005 ATLANTIC AV",1,11-907921
"1005 CHESTER ST",2,09-012337
"1005 GRAND VIEW",1,07-010469
"1005 GRAND VIEW DR",1,09-901980
"1005 KIRKHAM CT",1,10-062875
"10050 BERNDHARDT",1,08-006425
"10050 BERNHARDT DR",20,12-031943
"10050 SKYLINE BLVD",2,08-055029
"10051 BERNHARDT DR",5,11-049580
"10051 DOOLITTLE DR",52,08-017116
"10051 EMPIRE RD",2,10-032938
"10052 39TH AV",1,08-066808
"10052 EMPIRE RD",1,13-047189
"10055 BROADWAY TER",1,13-053744
"10055 DOOLITTLE DR",1,09-902467
"1006 101ST AV",2,07-091240
"1006 16TH ST",1,13-061689
"1006 21ST ST",3,10-055312
"1006 56TH ST",12,10-038419
"1006 59TH ST",1,11-054900
"1006 62ND ST",12,10-051641
"1006 72ND AV",4,11-017154
"1006 7TH AV",2,08-021857
"1006 7TH ST",4,12-031904
"1006 81ST AV",1,10-908108
"1006 APGAR ST",3,12-906390
"1006 CHESTNUT ST",4,09-012180
"1006 JEFFERSON ST",19,10-047264
"1006 KIRKHAM CT",1,10-907502
"1006 MCKINLEY AV",4,10-903601
"1006 PINE ST",1,10-065213
"1006 SUNNYHILLS RD",2,08-061826
"1006 UNDERHILLS RD",1,12-000597
"1006 WARFIELD AV",3,09-070924
"1006 WEBSTER ST",1,11-035923
"10060 BERNHARDT DR",2,11-053950
"10060 SKYLINE BLVD",3,08-004416
"10063 EMPIRE RD",1,10-049228
"10065 MACARTHUR",1,09-026633
"10065 MACARTHUR BLVD",18,13-002261
"10067 MACARTHUR BLVD",3,09-071156
"10069 BERNHARDT DR",3,11-053241
"1007 16TH",1,12-128347
"1007 16TH ST",2,12-006254
"1007 39TH ST",2,07-004186
"1007 41ST ST",5,10-907689
"1007 55TH ST",1,13-030705
"1007 60TH ST",4,07-029805
"1007 61ST ST",2,10-063693
"1007 76TH AV",4,13-053534
"1007 76TH AVENUE",1,13-016797
"1007 84TH AV",3,10-001512
"1007 84TH AVE",1,12-010090
"1007 86TH AV",8,12-033368
"1007 87TH AV",4,11-019253
"1007 92ND AV",2,09-047770
"1007 ALVARADO",1,07-018261
"1007 CHESTNUT ST",5,08-069743
"1007 CLAY ST",14,12-050159
"10070 BERNHARDT DR",10,12-029664
"10070 EMPIRE RD",2,13-031600
"10071 EMPIRE RD",1,09-022095
"10075 BERNHARDT DR",3,08-049217
"1008 103RD AV",6,10-052383
"1008 105TH AV",7,11-044081
"1008 106TH AV",1,09-039500
"1008 24TH ST",1,11-904049
"1008 33RD AV",2,13-056078
"1008 69TH AV",4,11-906322
"1008 7TH ST",3,10-059558
"1008 88TH AV",16,11-057183
"1008 92ND AV",1,11-048613
"1008 BAYVIEW AV",3,10-904165
"1008 E 33RD ST",3,09-020396
"1008 FOOTHILL BLVD",1,13-024898
"1008 INTERNATIONAL BLVD",1,10-043961
"1008 PERALTA ST",3,07-097459
"1008 WEBSTER ST",1,08-059052
"10083 BROADWAY TER",1,09-020971
"1009 22ND ST",1,13-019604
"1009 53RD ST",2,12-912768
"1009 54TH AV",1,11-001475
"1009 5TH AV",5,07-065571
"1009 62ND ST",16,11-029706
"1009 70TH AV",1,09-020587
"1009 72ND AV",4,10-050562
"1009 9TH AV",2,08-016616
"1009 CLAY ST",1,10-009573
"1009 ELSINORE AV",1,09-060652
"1009 MACARTHUR BLVD",15,10-908069
"1009 MADISON ST",5,11-008773
"1009 PORTAL AV",1,13-038277
"1009 W ROWAN ST",1,12-901618
"10093 BROADWAY TER",2,09-904965
"10097 BROADWAY TER",2,13-014703
"10098 EMPIRE RD",1,10-002527
"100T H AV & CHERRY ST",1,12-004140
"100T H AV&BIRCH ST",1,12-008603
"100T H AV&WALNUT ST",1,12-035640
"100TH",1,11-906200
"100TH AV & BANCROFT AV",2,10-043078
"100TH AV & BIRCH ST",1,13-062543
"100TH AV & DANTE AV",1,11-908803
"100TH AV & INTERNATIONAL",2,14-006656
"100TH AV & INTERNATIONAL BLVD",61,14-012412
"100TH AV AND MACARTHUR BLVD",1,09-026092
"100TH AV&B ST",1,08-094630
"100TH AV&C ST",2,10-063281
"100TH AV&D ST",1,07-090588
"100TH AV&E ST",1,08-042763
"100TH AV&HOLLY ST",1,09-051892
"100TH AV&INTERNATIONAL BLVD",5,10-008569
"100TH AV&LONGFELLOW AV",1,08-090477
"100TH AV&MACARTHUR BLVD",14,07-049644
"100TH AV&OLIVE ST",1,08-046037
"100TH AV&PEARMAIN ST",4,09-000596
"100TH AV&PIPPIN ST",4,08-056927
"100TH AV&PLYMOUTH ST",2,09-004161
"100TH AV&SAN LEANDRO ST",5,08-053075
"100TH AV&SUNNYSIDE ST",1,10-010970
"100TH AV&WALNUT ST",2,08-087385
"100TH AVE",2,11-037554
"100TH AVE AND PEARMAIN ST",1,11-056524
"100TH VOLTAIRE",1,10-024501
"100TH& ROYAL ANN",2,10-034426
"101   BROADWAY",1,09-063447
"101 10TH AV",18,10-907794
"101 10TH AVE",1,13-048283
"101 17TH ST",9,11-028887
"101 8TH ST",7,11-910283
"101 ALPINE TER",1,10-045539
"101 BROADWAY",18,08-082264
"101 BURMA RD",1,08-057761
"101 COVINGTON ST",1,11-907416
"101 ELYSIAN FIELDS DR",2,09-021406
"101 EMBARCADERO WEST",7,13-038884
"101 FOSTER AV",2,13-906301
"101 FRISBE",1,09-901818
"101 HUNTER AV",1,07-031250
"101 INTERNATIONAL BLVD",1,11-902561
"101 JEFFERSON ST",3,11-910592
"101 KIMBERLIN HEIGHTS",1,11-018976
"101 KIMBERLIN HEIGHTS DR",1,08-039975
"101 LAKESIDE DR",1,10-031936
"101 LOUVAINE AV",6,08-065744
"101 MARLOW DR",2,11-005687
"101 MYRTLE ST",7,09-010278
"101 TAURUS AV",1,13-023187
"1010 22ND AV",3,10-907481
"1010 25TH AV",5,11-002513
"1010 28TH ST",5,10-005690
"1010 38TH AV",2,12-014493
"1010 44TH AV",5,13-903721
"1010 55TH ST",3,13-015218
"1010 56TH ST",2,08-064553
"1010 63RD ST",1,09-050306
"1010 71ST AV",2,10-902222
"1010 76TH AV",6,08-061071
"1010 7TH AV",1,10-902500
"1010 86TH AV",2,13-015945
"1010 86TH AVE",1,12-000677
"1010 APGAR ST",2,11-909175
"1010 ARLINGTON AV",5,08-006329
"1010 CENTER ST",5,12-128304
"1010 E 28TH ST",2,10-906187
"1010 HEGENBERGER RD",1,09-041895
"1010 JEFFERSON ST",6,13-035231
"1010 KIRKHAM CT",3,09-081913
"1010 LONGRIDGE RD",2,10-051594
"1010 MACARTHUR BLVD",1,13-005594
"1010 POPLAR ST",2,07-089681
"1010 UNIVERSITY AV",1,08-010465
"1010 VIEW DR",1,11-902500
"1010 WEBSTER ST",1,09-058420
"1010 WOOD ST",2,12-061978
"10100  CARY ST",1,09-032792
"10100 BIRCH ST",6,12-039996
"10100 BLK CARY",1,10-044218
"10100 BLK DANTE AVE",1,13-027269
"10100 BLK OF SUNNYSIDE ST",1,13-032635
"10100 BLOCK BIRCH ST",1,08-027431
"10100 BLOCK OF ROYAL ANN ST",1,12-030219
"10100 C ST",2,08-003310
"10100 DANTE AV",1,14-007726
"10100 DENNY ST",1,11-002575
"10100 E ST",6,11-025348
"10100 FOOTHILL BLVD",13,11-052591
"10100 GOLF LINKS RD",2,08-033459
"10100 INTERNATIONAL",1,09-051788
"10100 INTERNATIONAL BLVD",51,07-078046
"10100 PEARMAIN ST",3,11-005662
"10100 PIPPIN ST",2,14-015211
"10100 PLYMOUTH ST",3,14-007734
"10100 ROYAL ANN",2,12-026626
"10100 ROYAL ANN ST",2,07-014535
"10100 SAN LEANDRO ST",2,10-065274
"10100 SIGOURNEY AV",1,14-008340
"10100 SKYLINE BLVD",3,08-004714
"10100 SUNNYSIDE ST",2,13-041355
"10100 WALNUT ST",22,07-010296
"10101 ENDFIELD WAY",1,12-005649
"10101 SKYLINE BLVD",3,08-054832
"10101 STANLEY AV",4,09-026172
"10101 VOLTAIRE AV",3,10-041742
"10105 BARRANDS LN",1,09-056836
"10105 CARY ST",1,12-125597
"10105 CARY STREET",1,11-027443
"10107 LONGFELLOW AV",1,13-023348
"10109 BIRCH ST",1,11-021047
"10109 DANTE AV",1,09-903451
"1011 101ST AVE",1,13-054351
"1011 102ND AV",2,11-055580
"1011 105TH AV",2,12-051539
"1011 18TH ST",2,09-058190
"1011 32ND ST",3,07-068802
"1011 39TH AV",1,09-016842
"1011 55TH ST",2,13-052866
"1011 57TH ST",3,09-073442
"1011 70TH AV",1,10-006295
"1011 73RD AV",3,08-019217
"1011 7TH AV",12,13-046777
"1011 87TH AV",9,09-046900
"1011 88TH AV",5,09-032614
"1011 88TH AVE",1,12-064969
"1011 92ND AV",4,08-028469
"1011 BAYVIEW AV",7,11-001350
"1011 BROADWAY",7,12-911508
"1011 CENTER ST",3,11-024391
"1011 E 12TH ST",1,13-055961
"1011 E 22ND ST",1,09-020300
"1011 E 24TH ST",1,11-014741
"1011 ELSINORE AV",1,10-021923
"1011 HARRISON ST",2,08-012834
"1011 HUBERT RD",1,10-902265
"1011 KIRKHAM CT",6,09-009366
"1011 MACARTHUR BLVD",1,07-012547
"1011 MADISON ST",2,11-008983
"1011 MARTIN LUTHER KING JR WY",4,11-053903
"1011 POPLAR ST",1,11-012070
"1011 TURK STREET",1,08-053534
"1011 UNION ST",11,10-070252
"1011 YERBA BUENA AV",3,09-033343
"10110 SIGOURNEY AV",2,12-036002
"10111 INTERNATIONAL BLVD",23,09-083796
"10111 INTERNATIONAL BLVD.",1,13-037878
"10111 STANLEY AV",5,13-017473
"10111 WALNUT ST",4,07-098789
"10112 DANTE AV",2,10-013594
"10112 VOLTAIRE AV",3,08-018867
"10114 LONGFELLOW AV",1,10-035761
"10115 PIPPIN ST",4,10-007827
"10115 VOLTAIRE AV",1,09-072932
"1012 101ST AV",2,10-063492
"1012 32ND ST",5,10-023867
"1012 53RD ST",1,11-013674
"1012 57TH ST",2,11-010939
"1012 61ST ST",4,10-056352
"1012 69TH AV",3,07-022958
"1012 72ND AV",1,13-049324
"1012 8TH ST",1,11-000996
"1012 90TH AV",4,09-056551
"1012 APGAR ST",1,11-050667
"1012 BELLA VISTA AV",3,13-001581
"1012 CENTER ST",1,07-097323
"1012 CHESTER ST",3,10-058621
"1012 E 28TH ST",3,13-910526
"1012 FOOTHILL BLVD",2,07-011337
"1012 LINDEN ST",2,10-046216
"1012 SANTA YNEZ CT",1,08-094653
"1012 SUNNYHILLS RD",1,07-035429
"10120 SIGOURNEY AV",5,12-021341
"10121 INTERNATIONAL BLVD",22,12-128345
"10121 SAN LEANDRO ST",2,13-064765
"10122 INTERNATIONAL BLVD",1,11-015597
"10122 PIPPIN ST",3,11-044649
"10123 PLYMOUTH ST",1,13-004131
"10124 VOLTAIRE AV",2,11-900631
"10124 WALNUT ST",5,08-035952
"10125 INTERNATIONAL BL",1,09-076410
"10125 INTERNATIONAL BLVD",35,07-071562
"10125 ROYAL ANN STREET",1,13-004973
"10125 WALNUT ST",1,11-053538
"10127 DANTE AV",3,12-057449
"10128 WALNUT ST",3,13-019363
"10129 WALNUT ST",3,11-029415
"1013 16TH ST",2,09-022115
"1013 34TH AVE",1,11-053346
"1013 34TH ST",1,09-059550
"1013 53RD ST",2,10-000085
"1013 BELLA VISTA AV",2,09-013028
"1013 E 22ND ST",2,11-041463
"1013 HARRISON ST",5,13-040047
"1013 LINDEN ST",3,09-021283
"1013 STANFORD AV",1,12-011366
"10130 PIPPIN ST",4,12-003413
"10130 SIGOURNEY AV",3,13-035437
"10132 EDES AV",1,12-018450
"10133 BAYVIEW FARM RD",1,12-034503
"10135 E ST",1,07-015343
"1014 103RD AV",1,09-024033
"1014 10TH ST",1,13-032517
"1014 21ST ST",1,12-048562
"1014 54TH ST",2,10-020835
"1014 56TH ST",1,07-095944
"1014 59TH ST",2,09-085707
"1014 8TH ST",3,12-038423
"1014 92ND AV",5,09-041990
"1014 92ND AVE",1,13-058164
"1014 CASTRO ST",2,10-004207
"1014 E 11TH ST",1,09-010746
"1014 E28TH ST",1,12-021330
"1014 JACKSON",1,07-077212
"1014 KIRKHAM CT",2,07-073329
"1014 MCKINLEY AV",2,09-069855
"1014 POPLAR ST",1,09-044997
"1014 WINSOR AV",1,08-079485
"1014 WOOD ST",1,07-066289
"10141 EDES AV",6,13-900089
"10147 EDES AV",7,11-030854
"1015 12TH ST",12,13-911630
"1015 18TH ST",1,13-007057
"1015 26TH ST",3,13-036400
"1015 32ND ST",4,09-008098
"1015 54TH ST",2,07-056507
"1015 60TH ST",2,08-062100
"1015 62ND ST",5,12-056102
"1015 70TH AV",1,11-033983
"1015 71ST AV",8,09-079050
"1015 72ND AV",9,08-052803
"1015 82ND",1,13-029682
"1015 82ND AV",1,10-038478
"1015 84TH AV",9,11-012205
"1015 87TH AV",4,11-029708
"1015 94TH AV",5,13-910718
"1015 ADELINE ST",5,10-063789
"1015 AILEEN STREET APT # E",1,09-900840
"1015 CENTER ST",2,10-026743
"1015 CLAY ST",2,07-019910
"1015 E 12TH ST",1,11-001841
"1015 E 21ST ST",4,11-000527
"1015 E 22ND ST",2,10-051272
"1015 E22ND ST",1,11-053079
"1015 ELBERT ST",1,09-071876
"1015 FITZUREN",1,13-905803
"1015 GLENDORA AV",3,09-002179
"1015 HARRISON ST",1,10-011199
"1015 HOLLYWOOD AV",2,10-049993
"1015 KIRKHAM CT",8,09-063544
"1015 KIRKLAND WAY",1,09-023014
"1015 MACARTHUR BLVD",1,10-052561
"1015 PARK LN",2,09-903138
"1015 PINE ST",1,13-031380
"1015 POPLAR ST",1,07-037122
"1015 ROSE AV",4,11-901887
"1015 UNDERHILLS RD",1,11-015564
"1015 WOOD ST",1,08-074167
"1015 YERBA BUENA AV",1,11-056112
"1015 YERBA BUENA AVE",1,11-056111
"1015-71ST AVENUE",1,13-034189
"10150 FOOTHILL BLVD",1,10-901311
"10151 1/2 FOOTHILL BLVD",1,11-016614
"10151 FOOTHILL BLVD",39,12-048871
"10151 FOOTHILL BLVD - UNK LOCATION",1,10-000605
"10151 INTERNATIONAL BLVD",21,08-059001
"10151 MACARTHUR BLVD",13,08-002667
"10155 EDES AV",1,11-024767
"1016 21ST ST",1,12-050203
"1016 32ND ST",6,13-016282
"1016 56TH ST",1,09-069284
"1016 61ST ST",2,11-906427
"1016 66TH AV",4,09-068332
"1016 71ST AV",7,10-053017
"1016 82ND AV",1,12-044053
"1016 86TH AV",8,12-053583
"1016 87TH AV",1,09-046357
"1016 8TH ST",4,13-005415
"1016 APGAR ST",1,10-058970
"1016 BAYVIEW AV",7,09-046978
"1016 CASTRO ST",4,07-046495
"1016 E 12TH ST",6,10-058456
"1016 FRUITVALE AV",1,10-039316
"1016 JACKSON ST",1,08-036768
"1016 KIRKHAM CT",3,10-031730
"1016 LINDEN ST",2,13-050468
"1016 PERALTA ST",2,07-070024
"1016 WEBSTER ST",1,13-909791
"10168 FOOTHILL BLVD",4,10-062356
"1017 102ND AV",1,13-061154
"1017 10TH AVE.",1,11-041687
"1017 22ND ST",1,11-037298
"1017 24TH ST",3,12-048417
"1017 26TH ST",8,11-014998
"1017 53RD ST",1,08-059174
"1017 62ND ST",10,09-054336
"1017 63RD ST",1,10-907520
"1017 88TH AV",1,13-058771
"1017 BAYVIEW AV",2,09-039298
"1017 BAYVIEW AVE",1,13-055373
"1017 BISSELL AV",1,09-052448
"1017 E 22ND ST",7,11-048126
"1017 E 23RD ST",2,11-904729
"1017 H ST",1,10-904119
"1017 LINDEN ST",17,13-000917
"1017 LINDEN STREET",1,13-000851
"1017 WILLOW ST",4,07-031036
"10171 FOOTHILL BLVD",1,08-017975
"1018 18TH ST",8,09-048310
"1018 28TH ST",1,13-054087
"1018 4TH AVE",3,11-005444
"1018 55TH ST",3,11-904457
"1018 59TH ST",1,13-043094
"1018 66TH AV",1,09-037877
"1018 76TH AV",6,09-067415
"1018 7TH ST",1,08-015864
"1018 90TH AV",1,08-026028
"1018 E 17TH ST",2,10-060217
"1018 E 22ND ST",1,11-900483
"1018 E 23RD ST",1,08-006475
"1018 PINE ST",4,12-904880
"1018 STANFORD AV",8,12-005115
"1018 SUNNYHILLS RD",2,10-906188
"1018 UNION ST",2,09-081715
"1018 WARFIELD AV",1,09-013344
"1018 WEBSTER ST",2,11-013397
"10182 FOOTHILL BLVD",1,10-038794
"10189 FOOTHILL BLVD",3,10-029147
"1019 106TH AV",4,11-058899
"1019 26TH ST",1,09-036463
"1019 44TH AV",3,13-026796
"1019 52ND AV",1,10-902296
"1019 57TH ST",1,11-901988
"1019 63RD ST",1,09-060505
"1019 66TH AV",3,13-056067
"1019 75TH AV",1,10-009581
"1019 77TH AV",8,10-019816
"1019 87TH AV",1,09-025940
"1019 CAMPBELL ST",1,07-070872
"1019 CENTER ST",3,10-013556
"1019 CHESTER ST",2,13-042389
"1019 CLAY ST",5,08-031688
"1019 E 19TH ST",5,11-005826
"1019 HARRISON ST",1,13-907839
"1019 HIGH ST",2,10-029519
"1019 POPLAR ST",1,11-905750
"1019 TRESTLE GLEN RD",1,13-903812
"101ST",1,10-036167
"101ST AV & BANCROFT AV",1,11-042607
"101ST AV & BIRCH ST",2,14-007278
"101ST AV & E ST",1,08-056888
"101ST AV & INTERNATIONAL BLVD",2,12-125089
"101ST AV & MACARTHUR BLVD",1,10-043328
"101ST AV&BANCROFT AV",1,09-063494
"101ST AV&C ST",2,10-037179
"101ST AV&E ST",1,07-075759
"101ST AV&INTERNATIONAL BLVD",11,07-033209
"101ST AV&PLYMOUTH ST",2,07-062150
"101ST AV&WALNUT ST",5,07-039113
"101ST SUNNYSIDE ST",1,09-061692
"102 02TH ST",1,10-026499
"102 4TH ST",2,09-023840
"102 ELYSIAN FIELDS DR",1,11-020411
"102 FOOTHILL BLVD",1,07-075956
"102 FRANK H OGAWA PLZ",1,11-025825
"102 HAMILTON PL",1,09-904323
"102 INTERNATIONAL BLVD",4,10-012262
"102 KERWIN AV",1,10-068363
"102 ZEPHYR DR",1,11-034463
"1020 105TH AV",10,11-908604
"1020 10TH ST",4,07-055176
"1020 21ST ST",5,09-076746
"1020 25TH AV",4,11-011940
"1020 28TH ST",1,13-053503
"1020 32ND ST",6,12-127927
"1020 39TH ST",3,13-905631
"1020 44TH AV",2,07-008824
"1020 53RD ST",5,12-029328
"1020 54TH AV",2,11-025603
"1020 54TH ST",1,12-124033
"1020 55TH ST",3,12-904905
"1020 59TH ST",2,07-017847
"1020 60TH ST",1,10-005636
"1020 61ST ST",3,09-008171
"1020 62ND ST",1,10-903065
"1020 82ND AVE",1,12-065617
"1020 87TH AV",3,09-047599
"1020 APGAR ST",3,11-046092
"1020 CHESTER ST",6,09-065328
"1020 E 12TH ST",10,11-003900
"1020 E 19TH ST",2,11-907519
"1020 E 21ST ST",1,10-029829
"1020 E 8TH ST",3,10-908071
"1020 E.12TH ST.",1,10-059346
"1020 E21ST",1,07-026566
"1020 ELMHURST AV",7,12-026672
"1020 HIGH ST",5,12-014470
"1020 JACKSON ST.",1,13-058329
"1020 KIRKHAM CT",4,07-059369
"1020 PERALTA ST",1,12-047294
"1020 POPLAR ST",2,13-015274
"1020 UNION ST",2,08-021918
"1020 WILLOW ST",3,09-022127
"1020 WOOD ST",1,13-063277
"10200  MACARTHUR",1,09-082844
"10200 BANCROFT AV",1,13-042332
"10200 BIRCH ST",8,07-068787
"10200 BLK CARY AV",1,14-010424
"10200 BLK FOOTHILL BLVD",1,13-053772
"10200 BLK OF SUNNYSIDE ST",1,12-004487
"10200 BLK OF WALNUT ST",1,14-013900
"10200 BLK WALNUT ST",2,11-048354
"10200 BLOCK OF BIRCH ST",1,11-046264
"10200 BYRON",2,08-095781
"10200 DANTE AV",6,11-008177
"10200 E ST",3,12-052865
"10200 FOOTHILL BOULEVARD",1,14-004833
"10200 GRAFFIAN ST",4,12-029093
"10200 GRIFFIN",1,12-913617
"10200 INTERNATIONAL",1,09-029864
"10200 INTERNATIONAL BLVD",37,10-046263
"10200 KNIGHT ST",1,08-021311
"10200 LONGFELLOW AV",2,13-058694
"10200 MACARTHUR BLVD",39,08-014926
"10200 PEARMAIN ST",8,11-044592
"10200 PLYMOUTH",1,07-052125
"10200 PLYMOUTH ST",4,08-005559
"10200 ROYAL ANN ST",9,14-900013
"10200 SAN LEANDRO ST",4,07-099627
"10200 SUNNYSIDE ST",4,10-024411
"10200 WALNUT ST",8,07-002176
"10201 MACARTHUR BLVD",2,13-046173
"10201 ROYAL ANN",1,11-044873
"10201 ROYAL ANN ST",3,08-010647
"10201 VOLTAIRE AV",1,09-015038
"10202 PIPPIN ST",4,10-008509
"10203 CARY ST",5,11-006113
"10203 E ST",3,13-014564
"10203 HALE AV",1,09-028521
"10205 FOOTHILL BLVD",3,12-041379
"10205 MACARTHUR BLVD",4,13-052336
"10206 DANTE AV",1,09-006522
"10206 GRAFFIAN ST",1,10-049653
"10207 GRAFFIAN ST",5,07-049709
"10208 FOOTHILL BLVD",1,08-071139
"10209 DANTE AV",6,09-060026
"10209 WALNUT ST",1,10-066386
"1021 103RD AV",1,10-036265
"1021 18TH ST",3,10-069663
"1021 26TH ST",2,07-049479
"1021 39TH ST",4,10-027662
"1021 3RD ST",6,07-100116
"1021 45TH AV",8,11-050332
"1021 45TH AVE",1,13-059110
"1021 66TH AV",3,12-006185
"1021 71ST AV",3,10-002026
"1021 72ND AV",2,09-011065
"1021 76TH AV",5,09-044343
"1021 76TH AVE",1,13-049223
"1021 7TH AV",1,09-018639
"1021 81ST AV",28,13-904731
"1021 92ND AV",2,11-015258
"1021 ADELINE ST",4,09-062980
"1021 BROOKWOOD RD",3,13-039397
"1021 CALCOT PL",1,09-004552
"1021 CAMPBELL ST",1,07-010230
"1021 CHESTER ST",1,11-033059
"1021 E 17TH ST",28,11-055824
"1021 E 20TH ST",3,08-061325
"1021 E 21ST ST",1,09-014273
"1021 E 23RD ST",5,12-028597
"1021 E 24TH ST",4,09-066305
"1021 E24TH STREET",1,12-065512
"1021 MAGNOLIA ST",3,11-048206
