ADDR,NCID,CID[0]
"1000 W MACARTHUR BLVD",5,07-064146
"1000 WARD ST",2,13-063081
"1000 WARFIELD AV",10,14-901599
"1000 WEBSTER ST",12,13-912306
"1000 WEST GRAND AV",1,11-036496
"1000 WILLOW ST",20,14-001170
"1000-1100 CENTER ST",1,10-058679
"10000 A ST",2,11-025059
"10000 ALBAMA ST",1,11-908302
"10000 BANCROFT",1,09-043122
"10000 BANCROFT AV",1,10-057084
"10000 BERNHARDT DR",3,08-025041
"10000 BERNHARDT DR.",1,14-013231
"10000 BLK SUNNYSIDE",1,13-031204
"10000 C ST",6,07-018298
"10000 DENNY ST",1,07-027444
"10000 E ST",9,09-082569
"10000 EL VERANO ST",4,07-087311
"10000 EMPIRE RD",4,14-004587
"10000 FOOTHILL",1,10-033330
"10000 FOOTHILL BLVD",1,07-031369
"10000 HOLLY",1,09-066862
"10000 IMPERIAL HWAY",1,13-041086
"10000 INTERNATIONAL",1,11-012814
"10000 INTERNATIONAL BLVD",28,08-045637
"10000 JEFFERSON",1,12-907426
"10000 MACARTHUR",1,10-051488
"10000 MACARTHUR BL",1,11-005649
"10000 MACARTHUR BLVD",87,12-034236
"10000 MACARTHUR BOULEVARD",1,13-062104
"10000 MANDELA PKWY",1,07-035849
"10000 PEARMAIN",1,09-036944
"10000 PEARMAIN ST",14,07-059248
"10000 PIPPIN ST",10,10-059571
"10000 PLYMOUTH",1,07-004271
"10000 PLYMOUTH ST",5,12-020664
"10000 ROYAL ANN ST",3,08-002986
"10000 SAN LEANDRO ST",8,08-021548
"10000 SKYLINE",2,09-901967
"10000 STANLEY AV",5,07-006925
"10000 STANLEY ST",1,10-049957
"10000 SUNNYSIDE ST",5,13-017099
"10000 VOLTAIRE AV",2,14-003373
"10000 WALNUT ST",6,07-077547
"10000BLK OF PEARMAIN",1,11-002827
"10001 BANCROFT AV",1,09-008333
"10001 BERNHARDT DR",3,09-080014
"10001 DENNY ST",2,09-040947
"10001 DOOLITTLE DR",2,10-001732
"10001 DOOLITTLE DR.",1,09-900495
"10001 PEARMAIN ST",1,11-044175
"10001 SUNNYSIDE ST",2,13-043155
"10003 BURR ST",1,11-036865
"10003 C ST",2,08-053184
"10004 E ST",1,13-040659
"10005 A ST",3,12-057499
"10005 C ST",2,08-029579
"10005 EMPIRE RD",3,10-048247
"10006 C ST",4,10-009482
"10007 BERNHARDT DR",4,12-060543
"10007 C ST",5,12-128031
"10007 SAN LEANDRO ST",1,07-091515
"10008 PIPPIN ST",3,10-049382
"10008 VOLTAIRE AV",5,13-049020
"1000BLK BROADWAY",1,12-034247
"1000BLK OF 24TH ST",1,11-054069
"1000BLK OF 51ST AVE",1,12-032136
"1000BLK OF 83RD AVE",1,09-039525
"1000BLK PARK LANE",1,11-055655
"1001 75TH AV",5,07-062936
"1001 101ST AV",1,10-036491
"1001 103RD AV",7,10-905159
"1001 104TH AV",2,09-078958
"1001 105TH AV",3,12-903876
"1001 22ND AV",7,09-904621
"1001 22ND AVENUE",1,10-900534
"1001 24TH ST",2,12-061358
